,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_10_FastText_historicalVAD,0.4634,0.0,0.4159,0.0,0.2196,0.0281,0.3663
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_11_FastText_historicalVAD,0.528,0.0,0.3996,0.0,0.2535,0.0109,0.3937
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_12_FastText_historicalVAD,0.5327,0.0,0.3807,0.0001,0.2098,0.0362,0.3744
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_13_FastText_historicalVAD,0.5305,0.0,0.4534,0.0,0.1823,0.0695,0.3887
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_14_FastText_historicalVAD,0.4729,0.0,0.4326,0.0,0.267,0.0072,0.3908
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_15_FastText_historicalVAD,0.5465,0.0,0.4776,0.0,0.2643,0.0079,0.4295
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_16_FastText_historicalVAD,0.5228,0.0,0.462,0.0,0.2482,0.0128,0.411
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_17_FastText_historicalVAD,0.5599,0.0,0.4401,0.0,0.2182,0.0292,0.4061
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_18_FastText_historicalVAD,0.5305,0.0,0.449,0.0,0.1972,0.0492,0.3923
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_19_FastText_historicalVAD,0.5043,0.0,0.3653,0.0002,0.2139,0.0326,0.3612
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_1_FastText_historicalVAD,0.5309,0.0,0.3828,0.0001,0.2359,0.0181,0.3832
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_20_FastText_historicalVAD,0.5418,0.0,0.4325,0.0,0.2552,0.0104,0.4099
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_21_FastText_historicalVAD,0.525,0.0,0.467,0.0,0.2545,0.0106,0.4155
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_22_FastText_historicalVAD,0.5255,0.0,0.4203,0.0,0.2392,0.0165,0.395
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_23_FastText_historicalVAD,0.5186,0.0,0.4107,0.0,0.2342,0.019,0.3879
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_24_FastText_historicalVAD,0.5218,0.0,0.4589,0.0,0.2583,0.0095,0.413
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_25_FastText_historicalVAD,0.5608,0.0,0.3737,0.0001,0.1937,0.0534,0.3761
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_26_FastText_historicalVAD,0.5268,0.0,0.3969,0.0,0.2509,0.0118,0.3915
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_27_FastText_historicalVAD,0.5241,0.0,0.4193,0.0,0.2627,0.0083,0.4021
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_28_FastText_historicalVAD,0.4871,0.0,0.4192,0.0,0.2278,0.0227,0.378
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_29_FastText_historicalVAD,0.5542,0.0,0.4588,0.0,0.2664,0.0074,0.4265
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_2_FastText_historicalVAD,0.5025,0.0,0.3733,0.0001,0.2732,0.006,0.383
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_30_FastText_historicalVAD,0.4989,0.0,0.4405,0.0,0.2532,0.011,0.3976
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_31_FastText_historicalVAD,0.4968,0.0,0.3431,0.0005,0.1981,0.0482,0.346
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_32_FastText_historicalVAD,0.5265,0.0,0.4079,0.0,0.2442,0.0143,0.3929
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_33_FastText_historicalVAD,0.5103,0.0,0.3872,0.0001,0.2758,0.0055,0.3911
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_34_FastText_historicalVAD,0.5037,0.0,0.4167,0.0,0.2648,0.0078,0.3951
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_35_FastText_historicalVAD,0.5259,0.0,0.4267,0.0,0.2455,0.0138,0.3994
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_36_FastText_historicalVAD,0.485,0.0,0.3936,0.0001,0.2217,0.0267,0.3668
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_37_FastText_historicalVAD,0.4949,0.0,0.4667,0.0,0.2837,0.0042,0.4151
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_38_FastText_historicalVAD,0.5089,0.0,0.4565,0.0,0.2274,0.0229,0.3976
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_39_FastText_historicalVAD,0.4874,0.0,0.3702,0.0001,0.2716,0.0063,0.3764
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_3_FastText_historicalVAD,0.5358,0.0,0.4764,0.0,0.2531,0.0111,0.4218
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_40_FastText_historicalVAD,0.4802,0.0,0.4122,0.0,0.1747,0.0822,0.3557
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_41_FastText_historicalVAD,0.5699,0.0,0.4266,0.0,0.2522,0.0114,0.4163
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_42_FastText_historicalVAD,0.5393,0.0,0.4069,0.0,0.2217,0.0267,0.3893
HistoricalVAD\FastText_LinearRegression\Warriner3000\Warriner_3000_43_FastText_historicalVAD,0.5285,0.0,0.4146,0.0,0.285,0.004,0.4094
