,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_kNN\Warriner3000\Warriner_3000_10_FastText_historicalVAD,0.4587,0.0,0.4394,0.0,0.1307,0.195,0.3429
HistoricalVAD\FastText_kNN\Warriner3000\Warriner_3000_11_FastText_historicalVAD,0.3528,0.0003,0.4115,0.0,0.0558,0.5813,0.2734
HistoricalVAD\FastText_kNN\Warriner3000\Warriner_3000_12_FastText_historicalVAD,0.3923,0.0001,0.3945,0.0,0.1732,0.0849,0.32
HistoricalVAD\FastText_kNN\Warriner3000\Warriner_3000_13_FastText_historicalVAD,0.542,0.0,0.3656,0.0002,0.2692,0.0068,0.3923
HistoricalVAD\FastText_kNN\Warriner3000\Warriner_3000_14_FastText_historicalVAD,0.4386,0.0,0.4542,0.0,0.2825,0.0044,0.3917
HistoricalVAD\FastText_kNN\Warriner3000\Warriner_3000_15_FastText_historicalVAD,0.4341,0.0,0.3107,0.0017,0.147,0.1444,0.2973
HistoricalVAD\FastText_kNN\Warriner3000\Warriner_3000_16_FastText_historicalVAD,0.5324,0.0,0.3796,0.0001,0.3039,0.0021,0.4053
HistoricalVAD\FastText_kNN\Warriner3000\Warriner_3000_17_FastText_historicalVAD,0.4186,0.0,0.2387,0.0168,0.1187,0.2395,0.2587
HistoricalVAD\FastText_kNN\Warriner3000\Warriner_3000_18_FastText_historicalVAD,0.48,0.0,0.4257,0.0,0.233,0.0196,0.3796
HistoricalVAD\FastText_kNN\Warriner3000\Warriner_3000_19_FastText_historicalVAD,0.4736,0.0,0.2763,0.0054,0.2491,0.0124,0.333
HistoricalVAD\FastText_kNN\Warriner3000\Warriner_3000_1_FastText_historicalVAD,0.415,0.0,0.2464,0.0135,0.1925,0.055,0.2846
HistoricalVAD\FastText_kNN\Warriner3000\Warriner_3000_20_FastText_historicalVAD,0.4069,0.0,0.3732,0.0001,0.2642,0.0079,0.3481
HistoricalVAD\FastText_kNN\Warriner3000\Warriner_3000_21_FastText_historicalVAD,0.3749,0.0001,0.343,0.0005,0.1437,0.1537,0.2872
