,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_10_SGNS_historicalVAD,0.493,0.0,0.3793,0.0001,0.0866,0.3913,0.3197
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_11_SGNS_historicalVAD,0.5005,0.0,0.3845,0.0001,0.0921,0.3619,0.3257
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_12_SGNS_historicalVAD,0.4971,0.0,0.3844,0.0001,0.0908,0.3692,0.3241
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_13_SGNS_historicalVAD,0.5037,0.0,0.3878,0.0001,0.092,0.3625,0.3278
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_14_SGNS_historicalVAD,0.4991,0.0,0.3865,0.0001,0.0907,0.3695,0.3254
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_15_SGNS_historicalVAD,0.4873,0.0,0.3889,0.0001,0.087,0.3896,0.321
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_16_SGNS_historicalVAD,0.4986,0.0,0.3841,0.0001,0.0864,0.3925,0.323
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_17_SGNS_historicalVAD,0.4996,0.0,0.3834,0.0001,0.0879,0.3844,0.3236
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_18_SGNS_historicalVAD,0.4983,0.0,0.3856,0.0001,0.0942,0.3513,0.326
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_19_SGNS_historicalVAD,0.4987,0.0,0.3882,0.0001,0.088,0.3838,0.325
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_1_SGNS_historicalVAD,0.4986,0.0,0.3779,0.0001,0.0874,0.3873,0.3213
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_20_SGNS_historicalVAD,0.4973,0.0,0.3868,0.0001,0.0873,0.388,0.3238
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_21_SGNS_historicalVAD,0.4996,0.0,0.3831,0.0001,0.0877,0.3856,0.3235
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_22_SGNS_historicalVAD,0.501,0.0,0.3804,0.0001,0.0921,0.3623,0.3245
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_23_SGNS_historicalVAD,0.4996,0.0,0.3886,0.0001,0.0909,0.3682,0.3264
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_24_SGNS_historicalVAD,0.4979,0.0,0.3885,0.0001,0.0898,0.3743,0.3254
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_25_SGNS_historicalVAD,0.5015,0.0,0.3895,0.0001,0.0899,0.3738,0.327
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_26_SGNS_historicalVAD,0.4955,0.0,0.3769,0.0001,0.0919,0.3631,0.3214
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_27_SGNS_historicalVAD,0.4926,0.0,0.385,0.0001,0.0864,0.3929,0.3213
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_28_SGNS_historicalVAD,0.5005,0.0,0.3796,0.0001,0.0899,0.3737,0.3233
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_29_SGNS_historicalVAD,0.4952,0.0,0.3847,0.0001,0.0916,0.3647,0.3238
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_2_SGNS_historicalVAD,0.5008,0.0,0.3844,0.0001,0.0918,0.3636,0.3257
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_30_SGNS_historicalVAD,0.4999,0.0,0.381,0.0001,0.0865,0.3921,0.3225
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_31_SGNS_historicalVAD,0.4949,0.0,0.3852,0.0001,0.0903,0.3717,0.3235
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_32_SGNS_historicalVAD,0.4994,0.0,0.3845,0.0001,0.0883,0.3821,0.3241
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_33_SGNS_historicalVAD,0.5001,0.0,0.3856,0.0001,0.0897,0.375,0.3251
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_34_SGNS_historicalVAD,0.4986,0.0,0.3798,0.0001,0.0903,0.3716,0.3229
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_35_SGNS_historicalVAD,0.4965,0.0,0.3869,0.0001,0.0899,0.374,0.3244
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_36_SGNS_historicalVAD,0.5037,0.0,0.3872,0.0001,0.0863,0.3934,0.3257
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_37_SGNS_historicalVAD,0.5026,0.0,0.388,0.0001,0.0919,0.3629,0.3275
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_38_SGNS_historicalVAD,0.4977,0.0,0.3894,0.0001,0.091,0.3678,0.326
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_39_SGNS_historicalVAD,0.5028,0.0,0.3874,0.0001,0.0928,0.3586,0.3276
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_3_SGNS_historicalVAD,0.5011,0.0,0.3825,0.0001,0.0875,0.3864,0.3237
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_40_SGNS_historicalVAD,0.501,0.0,0.3759,0.0001,0.0874,0.387,0.3215
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_41_SGNS_historicalVAD,0.4963,0.0,0.3781,0.0001,0.0898,0.3741,0.3214
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_42_SGNS_historicalVAD,0.5039,0.0,0.3801,0.0001,0.0862,0.3938,0.3234
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_43_SGNS_historicalVAD,0.4959,0.0,0.3856,0.0001,0.0904,0.371,0.324
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_44_SGNS_historicalVAD,0.4911,0.0,0.3872,0.0001,0.0876,0.3859,0.322
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_45_SGNS_historicalVAD,0.4981,0.0,0.3793,0.0001,0.0878,0.3852,0.3217
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_46_SGNS_historicalVAD,0.5043,0.0,0.3796,0.0001,0.0877,0.3853,0.3239
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_47_SGNS_historicalVAD,0.4927,0.0,0.3824,0.0001,0.0886,0.3808,0.3212
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_48_SGNS_historicalVAD,0.5047,0.0,0.3863,0.0001,0.0875,0.3869,0.3262
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_49_SGNS_historicalVAD,0.4925,0.0,0.3924,0.0001,0.0921,0.3621,0.3257
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_4_SGNS_historicalVAD,0.5033,0.0,0.3804,0.0001,0.088,0.3842,0.3239
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_50_SGNS_historicalVAD,0.5014,0.0,0.3908,0.0001,0.0925,0.3599,0.3283
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_5_SGNS_historicalVAD,0.497,0.0,0.3827,0.0001,0.0937,0.3536,0.3245
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_6_SGNS_historicalVAD,0.4983,0.0,0.3788,0.0001,0.0902,0.3719,0.3224
