,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_10_SGNS_historicalVAD,0.4945,0.0,0.3859,0.0001,0.0899,0.3735,0.3234
HistoricalVAD\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_11_SGNS_historicalVAD,0.4946,0.0,0.3833,0.0001,0.0893,0.3767,0.3224
HistoricalVAD\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_12_SGNS_historicalVAD,0.5028,0.0,0.3868,0.0001,0.091,0.368,0.3268
HistoricalVAD\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_13_SGNS_historicalVAD,0.5031,0.0,0.3815,0.0001,0.089,0.3783,0.3245
HistoricalVAD\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_14_SGNS_historicalVAD,0.4997,0.0,0.3815,0.0001,0.0882,0.383,0.3231
HistoricalVAD\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_15_SGNS_historicalVAD,0.4989,0.0,0.3832,0.0001,0.0877,0.3853,0.3233
HistoricalVAD\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_16_SGNS_historicalVAD,0.5004,0.0,0.385,0.0001,0.0898,0.3744,0.3251
HistoricalVAD\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_17_SGNS_historicalVAD,0.497,0.0,0.3828,0.0001,0.0896,0.3755,0.3231
HistoricalVAD\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_18_SGNS_historicalVAD,0.495,0.0,0.3877,0.0001,0.0901,0.3727,0.3242
HistoricalVAD\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_19_SGNS_historicalVAD,0.4975,0.0,0.3823,0.0001,0.09,0.3734,0.3232
HistoricalVAD\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_1_SGNS_historicalVAD,0.5012,0.0,0.3813,0.0001,0.0881,0.3836,0.3235
HistoricalVAD\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_20_SGNS_historicalVAD,0.5026,0.0,0.3821,0.0001,0.0893,0.3772,0.3246
HistoricalVAD\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_21_SGNS_historicalVAD,0.4976,0.0,0.3879,0.0001,0.0897,0.3749,0.3251
HistoricalVAD\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_22_SGNS_historicalVAD,0.4921,0.0,0.386,0.0001,0.0896,0.3754,0.3226
