,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_kNN\Warriner2000\Warriner_2000_10_FastText_historicalVAD,0.4855,0.0,0.2871,0.0038,0.2832,0.0043,0.3519
HistoricalVAD\FastText_kNN\Warriner2000\Warriner_2000_11_FastText_historicalVAD,0.3688,0.0002,0.3111,0.0016,0.0974,0.3348,0.2591
HistoricalVAD\FastText_kNN\Warriner2000\Warriner_2000_12_FastText_historicalVAD,0.4501,0.0,0.3379,0.0006,0.2404,0.016,0.3428
HistoricalVAD\FastText_kNN\Warriner2000\Warriner_2000_13_FastText_historicalVAD,0.4004,0.0,0.218,0.0293,0.1052,0.2977,0.2412
HistoricalVAD\FastText_kNN\Warriner2000\Warriner_2000_14_FastText_historicalVAD,0.3754,0.0001,0.2894,0.0035,0.18,0.0732,0.2816
HistoricalVAD\FastText_kNN\Warriner2000\Warriner_2000_15_FastText_historicalVAD,0.4196,0.0,0.3492,0.0004,0.0974,0.3349,0.2888
HistoricalVAD\FastText_kNN\Warriner2000\Warriner_2000_16_FastText_historicalVAD,0.4226,0.0,0.3481,0.0004,0.2197,0.0281,0.3301
HistoricalVAD\FastText_kNN\Warriner2000\Warriner_2000_17_FastText_historicalVAD,0.4214,0.0,0.3834,0.0001,0.0592,0.5583,0.288
HistoricalVAD\FastText_kNN\Warriner2000\Warriner_2000_18_FastText_historicalVAD,0.4607,0.0,0.3361,0.0006,0.2379,0.0171,0.3449
HistoricalVAD\FastText_kNN\Warriner2000\Warriner_2000_19_FastText_historicalVAD,0.5041,0.0,0.3155,0.0014,0.0883,0.3825,0.3026
HistoricalVAD\FastText_kNN\Warriner2000\Warriner_2000_1_FastText_historicalVAD,0.3798,0.0001,0.1565,0.12,0.13,0.1975,0.2221
HistoricalVAD\FastText_kNN\Warriner2000\Warriner_2000_20_FastText_historicalVAD,0.4905,0.0,0.2792,0.0049,0.2858,0.0039,0.3518
HistoricalVAD\FastText_kNN\Warriner2000\Warriner_2000_21_FastText_historicalVAD,0.4839,0.0,0.4715,0.0,0.1765,0.079,0.3773
HistoricalVAD\FastText_kNN\Warriner2000\Warriner_2000_22_FastText_historicalVAD,0.4596,0.0,0.2937,0.003,0.2677,0.0071,0.3403
HistoricalVAD\FastText_kNN\Warriner2000\Warriner_2000_23_FastText_historicalVAD,0.488,0.0,0.3344,0.0007,0.2401,0.0161,0.3542
HistoricalVAD\FastText_kNN\Warriner2000\Warriner_2000_24_FastText_historicalVAD,0.5588,0.0,0.3461,0.0004,0.2034,0.0424,0.3694
