,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_10_FastText_historicalVAD,0.5388,0.0,0.4022,0.0,0.309,0.0018,0.4166
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_11_FastText_historicalVAD,0.4568,0.0,0.4291,0.0,0.1777,0.0769,0.3545
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_12_FastText_historicalVAD,0.4857,0.0,0.4464,0.0,0.3207,0.0011,0.4176
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_13_FastText_historicalVAD,0.5089,0.0,0.4672,0.0,0.2466,0.0134,0.4075
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_14_FastText_historicalVAD,0.4677,0.0,0.4002,0.0,0.2257,0.0239,0.3645
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_15_FastText_historicalVAD,0.4906,0.0,0.4323,0.0,0.2376,0.0173,0.3868
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_16_FastText_historicalVAD,0.4956,0.0,0.4318,0.0,0.2904,0.0034,0.406
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_17_FastText_historicalVAD,0.4687,0.0,0.4036,0.0,0.229,0.0219,0.3671
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_18_FastText_historicalVAD,0.5201,0.0,0.4158,0.0,0.2373,0.0175,0.3911
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_19_FastText_historicalVAD,0.4284,0.0,0.4199,0.0,0.2491,0.0124,0.3658
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_1_FastText_historicalVAD,0.4553,0.0,0.394,0.0001,0.2553,0.0104,0.3682
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_20_FastText_historicalVAD,0.4459,0.0,0.434,0.0,0.2471,0.0132,0.3756
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_21_FastText_historicalVAD,0.502,0.0,0.3664,0.0002,0.3078,0.0018,0.3921
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_22_FastText_historicalVAD,0.5262,0.0,0.433,0.0,0.2822,0.0044,0.4138
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_23_FastText_historicalVAD,0.515,0.0,0.4333,0.0,0.2724,0.0061,0.4069
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_24_FastText_historicalVAD,0.477,0.0,0.4561,0.0,0.2539,0.0108,0.3957
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_25_FastText_historicalVAD,0.5095,0.0,0.4006,0.0,0.2487,0.0126,0.3863
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_26_FastText_historicalVAD,0.5298,0.0,0.4343,0.0,0.3185,0.0012,0.4275
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_27_FastText_historicalVAD,0.4532,0.0,0.4713,0.0,0.2049,0.0409,0.3765
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_28_FastText_historicalVAD,0.5023,0.0,0.4347,0.0,0.2728,0.006,0.4033
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_29_FastText_historicalVAD,0.5097,0.0,0.443,0.0,0.2507,0.0119,0.4011
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_2_FastText_historicalVAD,0.5318,0.0,0.3749,0.0001,0.3039,0.0021,0.4035
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_30_FastText_historicalVAD,0.504,0.0,0.3921,0.0001,0.3226,0.0011,0.4062
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_31_FastText_historicalVAD,0.5858,0.0,0.3799,0.0001,0.2531,0.0111,0.4063
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_32_FastText_historicalVAD,0.5228,0.0,0.4236,0.0,0.2943,0.003,0.4136
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_33_FastText_historicalVAD,0.5167,0.0,0.4071,0.0,0.2802,0.0047,0.4013
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_34_FastText_historicalVAD,0.5002,0.0,0.4077,0.0,0.3062,0.0019,0.4047
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_35_FastText_historicalVAD,0.5181,0.0,0.4824,0.0,0.2672,0.0072,0.4225
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_36_FastText_historicalVAD,0.532,0.0,0.4065,0.0,0.2303,0.0211,0.3896
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_37_FastText_historicalVAD,0.5183,0.0,0.3967,0.0,0.1733,0.0846,0.3628
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_38_FastText_historicalVAD,0.4613,0.0,0.4125,0.0,0.2654,0.0076,0.3797
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_39_FastText_historicalVAD,0.4687,0.0,0.4074,0.0,0.2725,0.0061,0.3828
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_3_FastText_historicalVAD,0.4637,0.0,0.4092,0.0,0.2723,0.0061,0.3817
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_40_FastText_historicalVAD,0.5107,0.0,0.4173,0.0,0.2711,0.0064,0.3997
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_41_FastText_historicalVAD,0.438,0.0,0.3904,0.0001,0.2508,0.0118,0.3598
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_42_FastText_historicalVAD,0.4204,0.0,0.4298,0.0,0.1538,0.1265,0.3347
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_43_FastText_historicalVAD,0.4682,0.0,0.4413,0.0,0.2308,0.0209,0.3801
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_44_FastText_historicalVAD,0.4308,0.0,0.3874,0.0001,0.2327,0.0198,0.3503
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_45_FastText_historicalVAD,0.5228,0.0,0.4436,0.0,0.3061,0.002,0.4242
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_46_FastText_historicalVAD,0.5313,0.0,0.3661,0.0002,0.2563,0.0101,0.3846
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_47_FastText_historicalVAD,0.4901,0.0,0.4799,0.0,0.2851,0.004,0.4184
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_48_FastText_historicalVAD,0.5135,0.0,0.4316,0.0,0.2962,0.0028,0.4137
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_49_FastText_historicalVAD,0.4515,0.0,0.3733,0.0001,0.2942,0.003,0.373
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_4_FastText_historicalVAD,0.4903,0.0,0.4412,0.0,0.1976,0.0487,0.3764
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_50_FastText_historicalVAD,0.484,0.0,0.4272,0.0,0.2579,0.0096,0.3897
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_5_FastText_historicalVAD,0.4913,0.0,0.4109,0.0,0.2743,0.0058,0.3922
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_6_FastText_historicalVAD,0.4895,0.0,0.3949,0.0,0.2382,0.017,0.3742
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_7_FastText_historicalVAD,0.4678,0.0,0.446,0.0,0.238,0.0171,0.3839
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_8_FastText_historicalVAD,0.4465,0.0,0.4373,0.0,0.3025,0.0022,0.3954
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_9_FastText_historicalVAD,0.4876,0.0,0.4251,0.0,0.2827,0.0044,0.3985
Mean,0.49089800000000006,0.0,0.41985,2.2000000000000003e-05,0.26094,0.015552,0.3905599999999999
