,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_10_SGNS_historicalVAD,0.567,0.0,0.4319,0.0,0.2027,0.0432,0.4005
HistoricalVAD\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_11_SGNS_historicalVAD,0.5669,0.0,0.463,0.0,0.2108,0.0353,0.4135
HistoricalVAD\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_12_SGNS_historicalVAD,0.571,0.0,0.4696,0.0,0.2013,0.0446,0.414
HistoricalVAD\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_13_SGNS_historicalVAD,0.5657,0.0,0.4564,0.0,0.1944,0.0526,0.4055
HistoricalVAD\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_14_SGNS_historicalVAD,0.5445,0.0,0.5059,0.0,0.2042,0.0415,0.4182
HistoricalVAD\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_15_SGNS_historicalVAD,0.562,0.0,0.483,0.0,0.2173,0.0299,0.4208
HistoricalVAD\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_16_SGNS_historicalVAD,0.5704,0.0,0.5105,0.0,0.2308,0.0209,0.4372
HistoricalVAD\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_17_SGNS_historicalVAD,0.5824,0.0,0.4464,0.0,0.2085,0.0373,0.4124
HistoricalVAD\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_18_SGNS_historicalVAD,0.5821,0.0,0.4591,0.0,0.2119,0.0343,0.4177
HistoricalVAD\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_19_SGNS_historicalVAD,0.5824,0.0,0.493,0.0,0.2036,0.0421,0.4264
HistoricalVAD\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_1_SGNS_historicalVAD,0.5837,0.0,0.4903,0.0,0.2225,0.0261,0.4321
HistoricalVAD\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_20_SGNS_historicalVAD,0.5357,0.0,0.478,0.0,0.1911,0.0568,0.4016
HistoricalVAD\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_21_SGNS_historicalVAD,0.5579,0.0,0.4913,0.0,0.1951,0.0518,0.4148
