,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_10_FastText_historicalVAD,0.5655,0.0,0.4575,0.0,0.2138,0.0327,0.4123
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_11_FastText_historicalVAD,0.5847,0.0,0.4329,0.0,0.2386,0.0168,0.4188
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_12_FastText_historicalVAD,0.5747,0.0,0.4413,0.0,0.234,0.0191,0.4167
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_13_FastText_historicalVAD,0.5745,0.0,0.4607,0.0,0.2256,0.024,0.4203
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_14_FastText_historicalVAD,0.5745,0.0,0.4478,0.0,0.2192,0.0284,0.4139
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_15_FastText_historicalVAD,0.5779,0.0,0.4596,0.0,0.2282,0.0224,0.4219
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_16_FastText_historicalVAD,0.5875,0.0,0.4559,0.0,0.2216,0.0267,0.4216
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_17_FastText_historicalVAD,0.5753,0.0,0.4523,0.0,0.2128,0.0335,0.4135
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_18_FastText_historicalVAD,0.5918,0.0,0.454,0.0,0.225,0.0244,0.4236
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_19_FastText_historicalVAD,0.5859,0.0,0.4548,0.0,0.2291,0.0219,0.4233
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_1_FastText_historicalVAD,0.5711,0.0,0.4617,0.0,0.2191,0.0285,0.4173
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_20_FastText_historicalVAD,0.572,0.0,0.4437,0.0,0.2236,0.0254,0.4131
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_21_FastText_historicalVAD,0.5801,0.0,0.4534,0.0,0.2229,0.0258,0.4188
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_22_FastText_historicalVAD,0.5666,0.0,0.4418,0.0,0.2141,0.0325,0.4075
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_23_FastText_historicalVAD,0.5788,0.0,0.4631,0.0,0.2189,0.0286,0.4203
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_24_FastText_historicalVAD,0.5809,0.0,0.4574,0.0,0.2414,0.0156,0.4266
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_25_FastText_historicalVAD,0.5918,0.0,0.4613,0.0,0.2116,0.0346,0.4216
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_26_FastText_historicalVAD,0.5751,0.0,0.449,0.0,0.2085,0.0373,0.4109
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_27_FastText_historicalVAD,0.5696,0.0,0.4384,0.0,0.2191,0.0285,0.409
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_28_FastText_historicalVAD,0.5792,0.0,0.4558,0.0,0.229,0.0219,0.4213
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_29_FastText_historicalVAD,0.5871,0.0,0.4708,0.0,0.2286,0.0222,0.4288
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_2_FastText_historicalVAD,0.5823,0.0,0.437,0.0,0.2398,0.0163,0.4197
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_30_FastText_historicalVAD,0.5947,0.0,0.4428,0.0,0.2344,0.0189,0.4239
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_31_FastText_historicalVAD,0.5842,0.0,0.4377,0.0,0.2365,0.0178,0.4195
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_32_FastText_historicalVAD,0.5801,0.0,0.4672,0.0,0.2326,0.0199,0.4266
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_33_FastText_historicalVAD,0.5786,0.0,0.4498,0.0,0.22,0.0278,0.4161
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_34_FastText_historicalVAD,0.5698,0.0,0.4447,0.0,0.2189,0.0287,0.4111
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_35_FastText_historicalVAD,0.5852,0.0,0.4178,0.0,0.2176,0.0296,0.4069
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_36_FastText_historicalVAD,0.5751,0.0,0.452,0.0,0.2286,0.0222,0.4185
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_37_FastText_historicalVAD,0.5804,0.0,0.459,0.0,0.2342,0.019,0.4245
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_38_FastText_historicalVAD,0.5752,0.0,0.441,0.0,0.2097,0.0362,0.4086
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_39_FastText_historicalVAD,0.5831,0.0,0.4621,0.0,0.2336,0.0193,0.4263
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_3_FastText_historicalVAD,0.5789,0.0,0.4545,0.0,0.2197,0.0281,0.4177
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_40_FastText_historicalVAD,0.5794,0.0,0.4268,0.0,0.2046,0.0411,0.4036
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_41_FastText_historicalVAD,0.5752,0.0,0.4433,0.0,0.2222,0.0263,0.4136
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_42_FastText_historicalVAD,0.5775,0.0,0.4622,0.0,0.216,0.0309,0.4186
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_43_FastText_historicalVAD,0.592,0.0,0.443,0.0,0.2189,0.0287,0.418
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_44_FastText_historicalVAD,0.562,0.0,0.4565,0.0,0.2134,0.0331,0.4106
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_45_FastText_historicalVAD,0.577,0.0,0.4598,0.0,0.2373,0.0174,0.4247
