,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_LinearRegression\Warriner4000\Warriner_4000_10_SGNS_historicalVAD,0.5326,0.0,0.3998,0.0,0.3222,0.0011,0.4182
HistoricalVAD\SGNS_LinearRegression\Warriner4000\Warriner_4000_11_SGNS_historicalVAD,0.5386,0.0,0.4425,0.0,0.289,0.0035,0.4234
HistoricalVAD\SGNS_LinearRegression\Warriner4000\Warriner_4000_12_SGNS_historicalVAD,0.5775,0.0,0.3375,0.0006,0.3272,0.0009,0.4141
HistoricalVAD\SGNS_LinearRegression\Warriner4000\Warriner_4000_13_SGNS_historicalVAD,0.5192,0.0,0.4023,0.0,0.2899,0.0034,0.4038
HistoricalVAD\SGNS_LinearRegression\Warriner4000\Warriner_4000_14_SGNS_historicalVAD,0.5335,0.0,0.39,0.0001,0.2682,0.007,0.3972
HistoricalVAD\SGNS_LinearRegression\Warriner4000\Warriner_4000_15_SGNS_historicalVAD,0.5269,0.0,0.4453,0.0,0.2532,0.011,0.4084
HistoricalVAD\SGNS_LinearRegression\Warriner4000\Warriner_4000_16_SGNS_historicalVAD,0.5776,0.0,0.4036,0.0,0.3215,0.0011,0.4343
HistoricalVAD\SGNS_LinearRegression\Warriner4000\Warriner_4000_17_SGNS_historicalVAD,0.4851,0.0,0.3118,0.0016,0.323,0.001,0.3733
HistoricalVAD\SGNS_LinearRegression\Warriner4000\Warriner_4000_18_SGNS_historicalVAD,0.5473,0.0,0.3894,0.0001,0.3275,0.0009,0.4214
HistoricalVAD\SGNS_LinearRegression\Warriner4000\Warriner_4000_19_SGNS_historicalVAD,0.5438,0.0,0.4299,0.0,0.3094,0.0017,0.4277
HistoricalVAD\SGNS_LinearRegression\Warriner4000\Warriner_4000_1_SGNS_historicalVAD,0.5253,0.0,0.3594,0.0002,0.2872,0.0038,0.3907
HistoricalVAD\SGNS_LinearRegression\Warriner4000\Warriner_4000_20_SGNS_historicalVAD,0.5126,0.0,0.3945,0.0,0.2893,0.0035,0.3988
HistoricalVAD\SGNS_LinearRegression\Warriner4000\Warriner_4000_21_SGNS_historicalVAD,0.5109,0.0,0.4373,0.0,0.2795,0.0049,0.4092
