,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_10_SGNS_historicalVAD,0.5788,0.0,0.5201,0.0,0.1895,0.059,0.4295
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_11_SGNS_historicalVAD,0.5783,0.0,0.4444,0.0,0.2129,0.0334,0.4119
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_12_SGNS_historicalVAD,0.5839,0.0,0.4558,0.0,0.2219,0.0265,0.4205
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_13_SGNS_historicalVAD,0.5673,0.0,0.4555,0.0,0.2112,0.035,0.4113
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_14_SGNS_historicalVAD,0.5792,0.0,0.4873,0.0,0.2222,0.0263,0.4296
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_15_SGNS_historicalVAD,0.586,0.0,0.4713,0.0,0.2014,0.0445,0.4196
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_16_SGNS_historicalVAD,0.5507,0.0,0.5041,0.0,0.1808,0.0718,0.4119
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_17_SGNS_historicalVAD,0.578,0.0,0.4759,0.0,0.2131,0.0333,0.4223
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_18_SGNS_historicalVAD,0.5518,0.0,0.4813,0.0,0.1891,0.0595,0.4074
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_19_SGNS_historicalVAD,0.5772,0.0,0.4511,0.0,0.2055,0.0403,0.4113
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_1_SGNS_historicalVAD,0.5691,0.0,0.4635,0.0,0.195,0.0519,0.4092
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_20_SGNS_historicalVAD,0.5716,0.0,0.4518,0.0,0.2099,0.0361,0.4111
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_21_SGNS_historicalVAD,0.5573,0.0,0.4782,0.0,0.1821,0.0698,0.4059
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_22_SGNS_historicalVAD,0.5518,0.0,0.4799,0.0,0.1977,0.0486,0.4098
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_23_SGNS_historicalVAD,0.5546,0.0,0.488,0.0,0.2004,0.0456,0.4143
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_24_SGNS_historicalVAD,0.5918,0.0,0.5115,0.0,0.2148,0.0319,0.4393
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_25_SGNS_historicalVAD,0.5754,0.0,0.4768,0.0,0.243,0.0149,0.4317
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_26_SGNS_historicalVAD,0.5763,0.0,0.45,0.0,0.1906,0.0575,0.4056
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_27_SGNS_historicalVAD,0.5635,0.0,0.4877,0.0,0.2129,0.0334,0.4214
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_28_SGNS_historicalVAD,0.5653,0.0,0.4902,0.0,0.1941,0.053,0.4165
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_29_SGNS_historicalVAD,0.5589,0.0,0.4613,0.0,0.2168,0.0303,0.4123
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_2_SGNS_historicalVAD,0.5626,0.0,0.4916,0.0,0.1903,0.058,0.4148
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_30_SGNS_historicalVAD,0.5535,0.0,0.4741,0.0,0.2266,0.0234,0.4181
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_31_SGNS_historicalVAD,0.5444,0.0,0.486,0.0,0.1855,0.0647,0.4053
HistoricalVAD\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_32_SGNS_historicalVAD,0.5746,0.0,0.4796,0.0,0.1973,0.0491,0.4171
