,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_10_SGNS_historicalVAD,0.545,0.0,0.4227,0.0,0.2995,0.0025,0.4224
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_11_SGNS_historicalVAD,0.5368,0.0,0.4251,0.0,0.3168,0.0013,0.4262
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_12_SGNS_historicalVAD,0.5343,0.0,0.4062,0.0,0.3005,0.0024,0.4137
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_13_SGNS_historicalVAD,0.5238,0.0,0.4477,0.0,0.3121,0.0016,0.4279
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_14_SGNS_historicalVAD,0.5267,0.0,0.4284,0.0,0.2965,0.0027,0.4172
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_15_SGNS_historicalVAD,0.5444,0.0,0.4386,0.0,0.2921,0.0032,0.425
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_16_SGNS_historicalVAD,0.5337,0.0,0.4171,0.0,0.3145,0.0014,0.4218
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_17_SGNS_historicalVAD,0.5286,0.0,0.4101,0.0,0.3052,0.002,0.4146
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_18_SGNS_historicalVAD,0.5554,0.0,0.3982,0.0,0.2948,0.0029,0.4162
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_19_SGNS_historicalVAD,0.5123,0.0,0.4204,0.0,0.2922,0.0032,0.4083
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_1_SGNS_historicalVAD,0.5281,0.0,0.3864,0.0001,0.287,0.0038,0.4005
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_20_SGNS_historicalVAD,0.523,0.0,0.4067,0.0,0.3037,0.0021,0.4111
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_21_SGNS_historicalVAD,0.5337,0.0,0.429,0.0,0.295,0.0029,0.4192
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_22_SGNS_historicalVAD,0.5613,0.0,0.4249,0.0,0.3267,0.0009,0.4376
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_23_SGNS_historicalVAD,0.5579,0.0,0.4071,0.0,0.3047,0.0021,0.4232
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_24_SGNS_historicalVAD,0.5529,0.0,0.444,0.0,0.2985,0.0026,0.4318
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_25_SGNS_historicalVAD,0.5425,0.0,0.4477,0.0,0.3027,0.0022,0.431
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_26_SGNS_historicalVAD,0.5405,0.0,0.3925,0.0001,0.3016,0.0023,0.4116
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_27_SGNS_historicalVAD,0.5221,0.0,0.4288,0.0,0.2751,0.0056,0.4087
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_28_SGNS_historicalVAD,0.5644,0.0,0.4105,0.0,0.3328,0.0007,0.4359
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_29_SGNS_historicalVAD,0.5087,0.0,0.4009,0.0,0.233,0.0197,0.3808
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_2_SGNS_historicalVAD,0.5542,0.0,0.3607,0.0002,0.3324,0.0007,0.4158
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_30_SGNS_historicalVAD,0.5328,0.0,0.4052,0.0,0.3122,0.0016,0.4167
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_31_SGNS_historicalVAD,0.5338,0.0,0.4308,0.0,0.3105,0.0017,0.425
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_32_SGNS_historicalVAD,0.5455,0.0,0.4139,0.0,0.3218,0.0011,0.4271
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_33_SGNS_historicalVAD,0.5225,0.0,0.4444,0.0,0.2915,0.0033,0.4195
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_34_SGNS_historicalVAD,0.5235,0.0,0.4119,0.0,0.2831,0.0043,0.4062
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_35_SGNS_historicalVAD,0.5528,0.0,0.4567,0.0,0.3,0.0024,0.4365
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_36_SGNS_historicalVAD,0.551,0.0,0.439,0.0,0.2503,0.012,0.4134
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_37_SGNS_historicalVAD,0.5361,0.0,0.4212,0.0,0.2836,0.0042,0.4136
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_38_SGNS_historicalVAD,0.5294,0.0,0.4449,0.0,0.2944,0.003,0.4229
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_39_SGNS_historicalVAD,0.5389,0.0,0.4672,0.0,0.3201,0.0012,0.442
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_3_SGNS_historicalVAD,0.5294,0.0,0.4221,0.0,0.3166,0.0013,0.4227
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_40_SGNS_historicalVAD,0.5288,0.0,0.437,0.0,0.2834,0.0043,0.4164
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_41_SGNS_historicalVAD,0.5194,0.0,0.3848,0.0001,0.2949,0.0029,0.3997
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_42_SGNS_historicalVAD,0.5087,0.0,0.4317,0.0,0.2754,0.0056,0.4052
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_43_SGNS_historicalVAD,0.5083,0.0,0.3925,0.0001,0.2865,0.0038,0.3958
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_44_SGNS_historicalVAD,0.5373,0.0,0.398,0.0,0.3061,0.002,0.4138
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_45_SGNS_historicalVAD,0.5318,0.0,0.4169,0.0,0.3214,0.0011,0.4234
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_46_SGNS_historicalVAD,0.5506,0.0,0.4,0.0,0.3049,0.002,0.4185
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_47_SGNS_historicalVAD,0.5262,0.0,0.4058,0.0,0.2976,0.0026,0.4099
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_48_SGNS_historicalVAD,0.573,0.0,0.4376,0.0,0.306,0.002,0.4389
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_49_SGNS_historicalVAD,0.5214,0.0,0.4014,0.0,0.292,0.0032,0.405
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_4_SGNS_historicalVAD,0.5343,0.0,0.382,0.0001,0.3129,0.0015,0.4097
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_50_SGNS_historicalVAD,0.5329,0.0,0.3377,0.0006,0.3023,0.0022,0.391
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_5_SGNS_historicalVAD,0.5357,0.0,0.4107,0.0,0.3067,0.0019,0.4177
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_6_SGNS_historicalVAD,0.551,0.0,0.3932,0.0001,0.3059,0.002,0.4167
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_7_SGNS_historicalVAD,0.5381,0.0,0.4055,0.0,0.3262,0.0009,0.4233
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_8_SGNS_historicalVAD,0.5524,0.0,0.4389,0.0,0.3082,0.0018,0.4332
HistoricalVAD\SGNS_LinearRegression\Warriner6000\Warriner_6000_9_SGNS_historicalVAD,0.5379,0.0,0.4242,0.0,0.2928,0.0031,0.4183
Mean,0.536276,0.0,0.41617799999999994,2.8e-05,0.300494,0.0029560000000000003,0.417652
