,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_10_FastText_historicalVAD,0.5396,0.0,0.3756,0.0001,0.2819,0.0045,0.399
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_11_FastText_historicalVAD,0.4924,0.0,0.3615,0.0002,0.2432,0.0148,0.3657
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_12_FastText_historicalVAD,0.511,0.0,0.5082,0.0,0.2183,0.0291,0.4125
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_13_FastText_historicalVAD,0.4777,0.0,0.3453,0.0004,0.1807,0.072,0.3345
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_14_FastText_historicalVAD,0.5502,0.0,0.3928,0.0001,0.2834,0.0043,0.4088
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_15_FastText_historicalVAD,0.4951,0.0,0.3469,0.0004,0.1859,0.064,0.3426
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_16_FastText_historicalVAD,0.4263,0.0,0.3538,0.0003,0.2513,0.0117,0.3438
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_17_FastText_historicalVAD,0.4466,0.0,0.3752,0.0001,0.23,0.0213,0.3506
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_18_FastText_historicalVAD,0.5688,0.0,0.259,0.0093,0.239,0.0166,0.3556
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_19_FastText_historicalVAD,0.5277,0.0,0.408,0.0,0.215,0.0317,0.3836
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_1_FastText_historicalVAD,0.547,0.0,0.3856,0.0001,0.2233,0.0256,0.3853
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_20_FastText_historicalVAD,0.5018,0.0,0.4857,0.0,0.084,0.406,0.3572
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_21_FastText_historicalVAD,0.4914,0.0,0.4083,0.0,0.2556,0.0103,0.3851
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_22_FastText_historicalVAD,0.4821,0.0,0.4213,0.0,0.2443,0.0143,0.3826
